PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
40166;;;;;1;0;0;0;0;0;0;0;1;0;TAMANCO TRISSE METALIZADO 124113715 KARY;CALCADOS                 ;TAMANCO                  ;BRONZE                                  
40166;;;;;1;0;0;0;0;0;0;0;1;0;TAMANCO TRISSE METALIZADO 124113715 KARY;CALCADOS                 ;TAMANCO                  ;CHAMPAGNE                               
40219;;;;;1;0;0;0;0;0;0;1;0;0;RASTEIRA CHINELO NAPA RR301 QUASA       ;CALCADOS                 ;RASTEIRA CHINELO         ;ROSADO                                  
40219;;;;;1;0;0;0;0;0;0;1;0;0;RASTEIRA CHINELO NAPA RR301 QUASA       ;CALCADOS                 ;RASTEIRA CHINELO         ;COTTON                                  
40256;;;;;1;0;0;0;0;0;0;1;0;0;PAPETE NAPA KC2093S EMP                 ;CALCADOS                 ;PAPETE                   ;COTTON                                  
40259;;;;;1;0;0;0;0;1;0;0;0;0;RASTEIRA CHINELO NAPA DF2094S EMP       ;CALCADOS                 ;RASTEIRA CHINELO         ;PRETA                                   
40259;;;;;1;0;0;0;0;0;1;0;0;0;RASTEIRA CHINELO NAPA DF2094S EMP       ;CALCADOS                 ;RASTEIRA CHINELO         ;CASCA                                   
40283;;;;;1;0;0;0;0;0;0;0;1;0;PAPETE NAPA MK5213 FIORELLA             ;CALCADOS                 ;PAPETE                   ;COTTON                                  
40354;;;;;3;0;0;1;1;1;0;0;0;0;CINTO FLOATER C06 DANDAS                ;ACESSORIOS               ;CINTO                    ;ROSA CHOQUE                             
40356;;;;;2;1;0;0;1;0;0;0;0;0;CINTO FLOATER C07 DANDAS                ;ACESSORIOS               ;CINTO                    ;MILK                                    
40364;;;;;3;0;0;0;0;0;0;2;1;0;SANDALIA MEIA PATA METALIZADO 120411778 ;CALCADOS                 ;SANDALIA MEIA PATA       ;CHAMPAGNE                               
40388;;;;;1;1;0;0;0;0;0;0;0;0;CARTEIRA FLOATER CA2490 YEGGUS          ;ACESSORIOS               ;CARTEIRA                 ;CORAL                                   
40388;;;;;2;2;0;0;0;0;0;0;0;0;CARTEIRA FLOATER CA2490 YEGGUS          ;ACESSORIOS               ;CARTEIRA                 ;CHAMPAGNE                               
